	2	3	4	5	6	7	8	9	T	A	Total:
C	0.353529986	0.37411547	0.3954689	0.417902475	0.42292162	0.26203107	0.243953953	0.229037008	0.21238057	0.115425506	0.281839098
17	0.139694112	0.13448199	0.13053875	0.12194614	0.165640083	0.369047987	0.128846331	0.120231207	0.111791247	0.130209862	0.145215496
18	0.134518345	0.130523965	0.124533741	0.12239002	0.106208478	0.137897547	0.359800481	0.118011426	0.111607704	0.130813289	0.139317547
19	0.129928733	0.125312898	0.121300391	0.117606717	0.106390435	0.078477983	0.128684369	0.351581273	0.111813847	0.130643461	0.133629357
20	0.124020994	0.120694723	0.116451261	0.112133504	0.101592111	0.078667903	0.069263205	0.12027504	0.340560263	0.130879282	0.17970916
21	0.118307829	0.114870955	0.111706957	0.108021143	0.097247273	0.073877511	0.069451662	0.060864047	0.034737936	0.053594864	0.072837999
B	0	0	0	0	0	0	0	0	0.077108434	0.308433735	0.047451344
											
											
											
											
