	C	17	18	19	20	21	B
2	0.35667736563488844	0.1300865817752357	0.1361197004781824	0.1315291679914623	0.12566276325333978	0.11992442086688214	0.0
3	0.3768907085479567	0.12600811520895844	0.13193628642993513	0.1267543932563876	0.12208865065310809	0.11632184590364628	0.0
4	0.3981190856468657	0.12244455063033635	0.12588378875288617	0.12265415700920536	0.11783583062747394	0.11306258733322971	0.0
5	0.41913558128852035	0.11815721091664805	0.12300864581245471	0.11825221377743021	0.11277991803660242	0.10866643016834338	0.0
6	0.43931374085580516	0.11500793377376083	0.1146368671395305	0.11499168523809787	0.11020471067184959	0.10584506232095593	0.0
7	0.2620310696578633	0.36904798671235484	0.13789754670643434	0.07847798304741402	0.07866790258721575	0.07387751128871765	0.0
8	0.24395395265076109	0.12884633140809448	0.3598004807676477	0.12868436855149123	0.0692632051118674	0.069451661510138	0.0
9	0.2290370080558004	0.12023120669315651	0.11801142558657429	0.3515812728717328	0.12027503968858724	0.06086404710414879	0.0
T	0.21238056992076845	0.11179124686266537	0.11160770373476732	0.11181384662149588	0.34056026312387316	0.0347379360014901	0.07710843373493977
A	0.1390912688976791	0.057326366606012716	0.1429171207064799	0.1430029751416783	0.14326389695992556	0.06596463674846315	0.30843373493975906
Total:	0.28567477391686263	0.13340932855193996	0.14128020594763033	0.13562950795160642	0.18171407462195865	0.07484076517311428	0.04745134383688601
